"","Indicator","year","Indicator_no","Total.number.of.pregnant.women.Registered.for.ANC...","Number.of.Pregnant.women.registered.within.first.trimester...","Number.of.Women.registered.under.JSY...","X..1st.Trimester.registration.to.Total.ANC.Registrations...","X..JSY.registration.to.Total.ANC.Registration...","Number.of.pregnant.women.received.3.ANC.check.ups...","TT2.or.Booster.given.to.Pregnant.women..numbers....","X..Pregnant.Woman.received.3.ANC.check.ups.to.Total.ANC.Registrations...","X..Pregnant.women.received.TT2.or.Booster.to.Total.ANC.Registration...","Number.of.Pregnant.women.given.100.IFA.tablets...","X..Pregnant.women.given.100.IFA.to.Total.ANC.Registration...","Number.having.Hb.level.11..tested.cases....","Number.having.severe.anaemia..Hb.7..treated.at.institution...","X..Pregnant.women.having.severe.anaemia..Hb.7..treated.at.institution.to.women.having.hb.level.11...","X..New.cases.detected.at.institution.for.hypertension.to.Total.ANC.Registrations...","Number.of.Home.deliveries...","Number.of.home.deliveries.attended.by.SBA.trained..Doctor.Nurse.ANM....","Number.of.home.deliveries.attended.by.Non.SBA.trained..trained.TB.Dai....","X..SBA.attended.home.deliveries.to.Total.Reported.Home.Deliveries...","Mothers.paid.JSY.incentive.for.home.deliveries...","X..Mothers.paid.JSY.incentive.for.home.deliveries.to.Total.Reported.Home.Deliveries...","Deliveries.Conducted.at.Public.Institutions...","Number.of.Women.Discharged.under.48.hours.of.delivery.in.public.facilities...","X..Women.discharged.in.less.than.48.hours.of.delivery.to.Total.Reported.Deliveries.at.public.institutions...","Institutional.deliveries..Public.Insts..Pvt..Insts.....","X..Institutional.Deliveries.to.total.ANC.registration...","Total.reported.deliveries...","X..Institutional.deliveries.to.Total.Reported.Deliveries...","X..Safe.deliveries.to.Total.Reported.Deliveries...","X..Home.deliveries.to.Total.Reported.Deliveries...","Number.of.C.section.deliveries.conducted.at.public.facilities...","Number.of.C.section.deliveries.conducted.at.private.facilities...","X..C.section.deliveries..Public...Pvt...to.reported.institutional..Public...Pvt...deliveries...","X..C.sections.conducted.at.public.facilities.to.Deliveries.conducted.at.public.facilities...","X..C.sections.conducted.at.Private.facilities.to.Deliveries.conducted.at.private.facilities...","X..Deliveries.conducted.at.Public.Institutions.to.Total.Institutional.Deliveries...","X..Mothers.paid.JSY.Incentive.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..of.cases.where.JSY.Incentive.paid.to.ASHA.for.Delivery.at.Public.institution.to.Total.Public.Deliveries...","X..Deliveries.conducted.at.Private.Institutions.to.Total.Institutional.Deliveries...","Women.received.post.partum.check.up.within.48.hours.of.delivery...","Post...Natal.Care...Women.got.a.post.partum.check.up.between.48.hours.and.14.days...","X..Women.receiving.post.partum.check.up.within.48.hours.of.delivery.to.Total.Reported.Deliveries...","X..Women.getting.Post.Partum.Checkup.between.48.hours.and.14.days.to.Total.Deliveries...","Total.Number.of.reported.live.births...","X..Total.Reported.Live.Births.to.Total.Deliveries...","Total.Number.of.reported.Still.Births...","X..live.birth.to.Reported.Birth...","Number.of.Newborns.weighed.at.birth...","X..Newborns.weighed.at.birth.to.live.birth...","Number.of.Newborns.having.weight.less.than.2.5.kg...","X..Newborns.having.weight.less.than.2.5.kg.to.Newborns.weighed.at.birth..."
"2","Ambalapuzha BPHCArea","2014-15",1,"1940","1747","1903",90.1,98.1,"1834","1135",94.5,58.5,"1926",99.3,"57","0",0,1.9,2,1,1,50,0,0,"0",0,NA,"148",7.6,"150",98.7,99.3,1.3,"0","71",48,NA,48,0,NA,NA,100,"196","1275",130.7,850,"148",98.7,2,98.7,"148",100,"10",6.8
"3","Arookutty CHCArea","2014-15",1,"1551","1389","1174",89.6,75.7,"1383","666",89.2,42.9,"1453",93.7,"45","0",0,0.4,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"6","1248",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"4","Chempumpuram CHCArea","2014-15",1,"1521","1281","1166",84.2,76.7,"1426","750",93.8,49.3,"1491",98,"211","0",0,0.6,0,0,0,NA,0,NA,"0",0,NA,"164",10.8,"164",100,100,0,"0","66",40.2,NA,40.2,0,NA,NA,100,"164","1426",100,869.5,"167",101.8,0,100,"167",100,"18",10.8
"5","Chettikkad CHCArea","2014-15",1,"1786","1648","1782",92.3,99.8,"1747","967",97.8,54.1,"1735",97.1,"10","0",0,0.3,1,0,1,0,0,0,"1",1,100,"1",0.1,"2",50,50,50,"0","0",0,0,NA,100,0,0,0,"0","1556",0,7800,"1",50,0,100,"1",100,"1",100
"6","Chunakara CHCArea","2014-15",1,"2100","1697","1034",80.8,49.2,"2113","1426",100.6,67.9,"2901",138.1,"12","0",0,0.9,1,1,0,100,0,0,"0",0,NA,"762",36.3,"763",99.9,100,0.1,"0","478",62.7,NA,62.7,0,NA,NA,100,"624","1934",81.8,253.5,"770",100.9,2,99.7,"705",91.6,"0",0
"7","Kurathikad CHC Area","2014-15",1,"1405","1104","780",78.6,55.5,"1288","544",91.7,38.7,"1401",99.7,"1","0",0,0.2,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"1","1239",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"8","Medical College Hospital Alappuzha","2014-15",1,"786","292","0",37.2,0,"400","241",50.9,30.7,"3198",406.9,"90","13",14.4,37.7,NA,NA,NA,NA,NA,NA,"0",0,NA,"368",46.8,"368",100,100,0,"0","198",53.8,NA,53.8,0,NA,NA,100,"346","273",94,74.2,"368",100,1,99.7,"368",100,"15",4.1
"9","Muhama CHC Area","2014-15",1,"2014","1803","1404",89.5,69.7,"1813","1407",90,69.9,"1925",95.6,"42","0",0,1.7,1,1,0,100,0,0,"0",0,NA,"1835",91.1,"1836",99.9,100,0.1,"0","1152",62.8,NA,62.8,0,NA,NA,100,"1420","2819",77.3,153.5,"1864",101.5,2,99.9,"1864",100,"141",7.6
"10","Muthukulam CHC Area","2014-15",1,"2113","1789","1198",84.7,56.7,"1907","853",90.3,40.4,"2099",99.3,"13","0",0,0.7,0,0,0,NA,0,NA,"0",0,NA,"0",0,"0",NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,"0","1809",NA,NA,"0",NA,0,NA,"0",NA,"0",NA
"11","PP Unit Alappuzha","2014-15",1,"744","549","710",73.8,95.4,"750","613",100.8,82.4,"0",0,"15","14",93.3,37,NA,NA,NA,NA,NA,NA,"4564",0,0,"4564",613.4,"4564",100,100,0,"1772",NA,38.8,38.8,NA,100,33.2,0,0,"3667","1785",80.3,39.1,"4632",101.5,0,100,"4632",100,"882",19
"12","Pandanad CHC Area","2014-15",1,"1906","1449","999",76,52.4,"1818","1745",95.4,91.6,"1786",93.7,"8","0",0,0.4,2,0,2,0,0,0,"0",2,NA,"567",29.7,"569",99.6,99.6,0.4,"0","382",67.4,NA,67.4,0,NA,NA,100,"349","1966",61.3,345.5,"567",99.6,1,99.8,"567",100,"22",3.9
"13","THQH Chenganoor","2014-15",1,"222","164","159",73.9,71.6,"215","335",96.8,150.9,"359",161.7,"25","2",8,14,NA,NA,NA,NA,NA,NA,"312",0,0,"475",214,"475",100,100,0,"148","121",56.6,47.4,74.2,65.7,14.7,0,34.3,"460","258",96.8,54.3,"476",100.2,0,100,"476",100,"29",6.1
"14","THQH Cherthala","2014-15",1,"427","372","232",87.1,54.3,"414","1174",97,274.9,"359",84.1,"39","3",7.7,2.6,NA,NA,NA,NA,NA,NA,"1420",0,0,"2517",589.5,"2517",100,100,0,"642","619",50.1,45.2,56.4,56.4,81.2,0.9,43.6,"1131","751",44.9,29.8,"2519",100.1,4,99.8,"2519",100,"173",6.9
